epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.556,3.09396,3.90522,4.19709,0.00241,0.7516,0.00418,0.00141,2.60647,4.43074,4.13446,0.0033046,0.0033046,0.0033046
2,241.572,2.89766,3.31729,3.75025,0.20186,0.2867,0.13269,0.04181,2.1971,6.20802,3.25439,0.00660507,0.00660507,0.00660507
3,358.328,2.00652,2.38868,2.6661,0.22447,0.27639,0.13929,0.0517,2.06698,3.08395,3.04346,0.00987255,0.00987255,0.00987255
4,474.671,1.59048,1.82323,2.20977,0.72416,0.59941,0.64897,0.35526,1.55806,1.8095,2.33848,0.0098515,0.0098515,0.0098515
5,590.464,1.38734,1.50918,1.99483,0.70306,0.6172,0.70054,0.39639,1.51789,1.55366,2.21085,0.009802,0.009802,0.009802
6,706.415,1.25804,1.32228,1.8707,0.85006,0.78645,0.87262,0.63241,1.03865,0.93782,1.71929,0.0097525,0.0097525,0.0097525
7,821.893,1.18489,1.19049,1.79704,0.799,0.75749,0.82751,0.59545,1.04156,1.00464,1.70292,0.009703,0.009703,0.009703
8,936.923,1.10559,1.08665,1.71269,0.88212,0.73441,0.85706,0.61561,1.03768,0.95154,1.67031,0.0096535,0.0096535,0.0096535
9,1052.64,1.06753,1.02667,1.67407,0.88246,0.82769,0.91043,0.69698,0.89126,0.76664,1.51078,0.009604,0.009604,0.009604
10,1167.78,1.02089,0.95808,1.62846,0.91833,0.85911,0.92597,0.71621,0.87403,0.69258,1.48804,0.0095545,0.0095545,0.0095545
11,1283.74,0.9793,0.91421,1.58577,0.9069,0.88071,0.93402,0.73445,0.80224,0.62796,1.41711,0.009505,0.009505,0.009505
12,1399.12,0.95308,0.86591,1.55206,0.92325,0.8812,0.94452,0.77182,0.74577,0.56978,1.36155,0.0094555,0.0094555,0.0094555
13,1514.86,0.91719,0.83571,1.51828,0.94399,0.88562,0.95248,0.77459,0.72075,0.53142,1.33827,0.009406,0.009406,0.009406
14,1631.26,0.89732,0.80564,1.49665,0.93676,0.86538,0.94513,0.77057,0.7303,0.5459,1.32539,0.0093565,0.0093565,0.0093565
15,1747.04,0.87422,0.77907,1.47204,0.93328,0.90722,0.95801,0.79402,0.68033,0.50328,1.28222,0.009307,0.009307,0.009307
16,1862.16,0.85077,0.74942,1.45303,0.93851,0.91262,0.95803,0.80166,0.66659,0.47639,1.25736,0.0092575,0.0092575,0.0092575
17,1976.84,0.84042,0.73434,1.44156,0.94887,0.91311,0.96154,0.80966,0.67893,0.47211,1.28447,0.009208,0.009208,0.009208
18,2092.43,0.81531,0.70804,1.41597,0.94393,0.92047,0.96327,0.81996,0.6491,0.44811,1.26129,0.0091585,0.0091585,0.0091585
19,2208.18,0.80249,0.69939,1.40572,0.95379,0.91458,0.96444,0.81364,0.64296,0.43285,1.24298,0.009109,0.009109,0.009109
20,2323.98,0.78327,0.67283,1.38802,0.95099,0.93362,0.96767,0.83312,0.61293,0.41703,1.21594,0.0090595,0.0090595,0.0090595
21,2439.62,0.77239,0.66269,1.3761,0.96883,0.91562,0.96517,0.84015,0.59018,0.40832,1.18856,0.00901,0.00901,0.00901
22,2555.38,0.75529,0.63925,1.361,0.96792,0.9136,0.96581,0.8341,0.60169,0.41631,1.18731,0.0089605,0.0089605,0.0089605
