epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3517,3.08268,3.97129,4.2451,0.00271,0.79612,0.00469,0.00183,2.52596,4.05359,4.15674,0.00328502,0.00328502,0.00328502
2,144.903,2.97806,3.54083,3.9784,0.00513,0.04538,0.01243,0.00361,2.6473,6.56647,4.05853,0.0065856,0.0065856,0.0065856
3,213.628,2.23007,2.55378,3.0646,0.13454,0.22616,0.17779,0.07967,1.83531,4.65328,2.89106,0.00985317,0.00985317,0.00985317
4,282.294,1.60572,1.86429,2.3326,0.44808,0.58743,0.48652,0.24866,1.69491,2.57751,2.72272,0.0098515,0.0098515,0.0098515
5,350.591,1.35514,1.50266,2.03592,0.77075,0.70581,0.77011,0.49414,1.32043,1.38213,2.2191,0.009802,0.009802,0.009802
6,419.183,1.21872,1.32173,1.88422,0.7992,0.68163,0.77796,0.51698,1.24359,1.23966,2.0502,0.0097525,0.0097525,0.0097525
7,487.395,1.14302,1.2086,1.8025,0.66323,0.69465,0.73693,0.48679,1.34018,1.37299,2.19867,0.009703,0.009703,0.009703
8,555.339,1.08725,1.12966,1.73557,0.76639,0.76108,0.83213,0.59378,1.06725,0.95802,1.79375,0.0096535,0.0096535,0.0096535
9,623.851,1.05129,1.08499,1.69557,0.83918,0.81168,0.88831,0.64511,0.98729,0.85314,1.72436,0.009604,0.009604,0.009604
10,692.248,1.02308,1.04315,1.66509,0.85383,0.86116,0.91864,0.70116,0.92007,0.75004,1.61798,0.0095545,0.0095545,0.0095545
11,760.634,0.99374,1.00351,1.63047,0.87383,0.79541,0.89153,0.6674,0.97327,0.80044,1.70422,0.009505,0.009505,0.009505
12,829.054,0.968,0.95782,1.60923,0.87781,0.87381,0.93039,0.71196,0.91317,0.71851,1.59408,0.0094555,0.0094555,0.0094555
13,897.137,0.94833,0.92208,1.58221,0.88672,0.83372,0.91606,0.69804,0.94774,0.74214,1.65066,0.009406,0.009406,0.009406
14,965.319,0.92142,0.89109,1.55789,0.85831,0.84387,0.90818,0.67113,0.98278,0.76444,1.66832,0.0093565,0.0093565,0.0093565
